x_utm,y_utm,value
347182.43313307303,5810395.006805061,0.7183891534805298
347192.43313307303,5810395.006805061,0.7115620374679565
347202.43313307303,5810395.006805061,0.7160561084747314
347212.43313307303,5810395.006805061,0.7191249132156372
347222.43313307303,5810395.006805061,0.7104595899581909
347232.43313307303,5810395.006805061,0.7019370794296265
347242.43313307303,5810395.006805061,0.7050195932388306
347252.43313307303,5810395.006805061,0.700739860534668
347262.43313307303,5810395.006805061,0.7093735933303833
347272.43313307303,5810395.006805061,0.7093726396560669
347282.43313307303,5810395.006805061,0.7252451181411743
347292.43313307303,5810395.006805061,0.7232015132904053
347302.43313307303,5810395.006805061,0.721051812171936
347312.43313307303,5810395.006805061,0.7133133411407471
347322.43313307303,5810395.006805061,0.698820948600769
347332.43313307303,5810395.006805061,0.7110044956207275
347342.43313307303,5810395.006805061,0.7258554697036743
347182.43313307303,5810385.006805061,0.7330982685089111
347192.43313307303,5810385.006805061,0.732527494430542
347202.43313307303,5810385.006805061,0.7325292825698853
347212.43313307303,5810385.006805061,0.7310452461242676
347222.43313307303,5810385.006805061,0.729264497756958
347232.43313307303,5810385.006805061,0.7282365560531616
347242.43313307303,5810385.006805061,0.7234574556350708
347252.43313307303,5810385.006805061,0.720116138458252
347262.43313307303,5810385.006805061,0.7201153039932251
347272.43313307303,5810385.006805061,0.7275288105010986
347282.43313307303,5810385.006805061,0.7286914587020874
347292.43313307303,5810385.006805061,0.7266547679901123
347302.43313307303,5810385.006805061,0.7262496948242188
347312.43313307303,5810385.006805061,0.705140233039856
347322.43313307303,5810385.006805061,0.6975014209747314
347332.43313307303,5810385.006805061,0.7266178131103516
347342.43313307303,5810385.006805061,0.7284142971038818
347182.43313307303,5810375.006805061,0.727109432220459
347192.43313307303,5810375.006805061,0.7243584394454956
347202.43313307303,5810375.006805061,0.7221685647964478
347212.43313307303,5810375.006805061,0.7026994228363037
347222.43313307303,5810375.006805061,0.6907713413238525
347232.43313307303,5810375.006805061,0.6952227354049683
347242.43313307303,5810375.006805061,0.6708626747131348
347252.43313307303,5810375.006805061,0.6708619594573975
347262.43313307303,5810375.006805061,0.6512832641601562
347272.43313307303,5810375.006805061,0.6626886129379272
347282.43313307303,5810375.006805061,0.6632261276245117
347292.43313307303,5810375.006805061,0.6535923480987549
347302.43313307303,5810375.006805061,0.6421254873275757
347312.43313307303,5810375.006805061,0.6168680191040039
347322.43313307303,5810375.006805061,0.6475375890731812
347332.43313307303,5810375.006805061,0.7220875024795532
347182.43313307303,5810365.006805061,0.651706337928772
347192.43313307303,5810365.006805061,0.6532173156738281
347202.43313307303,5810365.006805061,0.6421513557434082
347212.43313307303,5810365.006805061,0.6472634077072144
347222.43313307303,5810365.006805061,0.6737080812454224
347232.43313307303,5810365.006805061,0.6855742931365967
347242.43313307303,5810365.006805061,0.6679922342300415
347252.43313307303,5810365.006805061,0.6679911613464355
347262.43313307303,5810365.006805061,0.6537569761276245
347272.43313307303,5810365.006805061,0.6480252742767334
347282.43313307303,5810365.006805061,0.6366465091705322
347292.43313307303,5810365.006805061,0.6135882139205933
347302.43313307303,5810365.006805061,0.6048965454101562
347312.43313307303,5810365.006805061,0.596298098564148
347322.43313307303,5810365.006805061,0.6488416194915771
347332.43313307303,5810365.006805061,0.7223188877105713
347182.43313307303,5810355.006805061,0.635028600692749
347192.43313307303,5810355.006805061,0.6558728218078613
347202.43313307303,5810355.006805061,0.6639491319656372
347212.43313307303,5810355.006805061,0.6745717525482178
347222.43313307303,5810355.006805061,0.6965997219085693
347232.43313307303,5810355.006805061,0.7003049850463867
347242.43313307303,5810355.006805061,0.7003040313720703
347252.43313307303,5810355.006805061,0.6913274526596069
347262.43313307303,5810355.006805061,0.6878751516342163
347272.43313307303,5810355.006805061,0.661253809928894
347282.43313307303,5810355.006805061,0.6394091844558716
347292.43313307303,5810355.006805061,0.6241981983184814
347302.43313307303,5810355.006805061,0.610772967338562
347312.43313307303,5810355.006805061,0.5998694896697998
347322.43313307303,5810355.006805061,0.6747429370880127
347332.43313307303,5810355.006805061,0.7258181571960449
347182.43313307303,5810345.006805061,0.6447172164916992
347192.43313307303,5810345.006805061,0.6598258018493652
347202.43313307303,5810345.006805061,0.6839344501495361
347212.43313307303,5810345.006805061,0.6869899034500122
347222.43313307303,5810345.006805061,0.6905450820922852
347232.43313307303,5810345.006805061,0.690544843673706
347242.43313307303,5810345.006805061,0.6844539642333984
347252.43313307303,5810345.006805061,0.679531455039978
347262.43313307303,5810345.006805061,0.6695820093154907
347272.43313307303,5810345.006805061,0.6415678262710571
347282.43313307303,5810345.006805061,0.6366324424743652
347292.43313307303,5810345.006805061,0.629502534866333
347302.43313307303,5810345.006805061,0.6106992959976196
347312.43313307303,5810345.006805061,0.6348816156387329
347322.43313307303,5810345.006805061,0.7194061279296875
347182.43313307303,5810335.006805061,0.6419814825057983
347192.43313307303,5810335.006805061,0.6739320755004883
347202.43313307303,5810335.006805061,0.6997358798980713
347212.43313307303,5810335.006805061,0.6835581064224243
347222.43313307303,5810335.006805061,0.6835579872131348
347232.43313307303,5810335.006805061,0.6746938228607178
347242.43313307303,5810335.006805061,0.6648519039154053
347252.43313307303,5810335.006805061,0.6613091230392456
347262.43313307303,5810335.006805061,0.6494306325912476
347272.43313307303,5810335.006805061,0.633893609046936
347282.43313307303,5810335.006805061,0.6414072513580322
347292.43313307303,5810335.006805061,0.6422326564788818
347302.43313307303,5810335.006805061,0.6319383382797241
347312.43313307303,5810335.006805061,0.6946017742156982
347322.43313307303,5810335.006805061,0.7286062240600586
347182.43313307303,5810325.006805061,0.6498702764511108
347192.43313307303,5810325.006805061,0.6931841373443604
347202.43313307303,5810325.006805061,0.6982258558273315
347212.43313307303,5810325.006805061,0.6761786937713623
347222.43313307303,5810325.006805061,0.6761788129806519
347232.43313307303,5810325.006805061,0.6599960327148438
347242.43313307303,5810325.006805061,0.6481318473815918
347252.43313307303,5810325.006805061,0.6546036005020142
347262.43313307303,5810325.006805061,0.641603946685791
347272.43313307303,5810325.006805061,0.6379231214523315
347282.43313307303,5810325.006805061,0.6464815139770508
347292.43313307303,5810325.006805061,0.6420841217041016
347302.43313307303,5810325.006805061,0.6538553237915039
347312.43313307303,5810325.006805061,0.7248315811157227
347182.43313307303,5810315.006805061,0.6586614847183228
347192.43313307303,5810315.006805061,0.6988739967346191
347202.43313307303,5810315.006805061,0.6859190464019775
347212.43313307303,5810315.006805061,0.6859194040298462
347222.43313307303,5810315.006805061,0.6651748418807983
347232.43313307303,5810315.006805061,0.6515260934829712
347242.43313307303,5810315.006805061,0.649665355682373
347252.43313307303,5810315.006805061,0.6549379825592041
347262.43313307303,5810315.006805061,0.6377519369125366
347272.43313307303,5810315.006805061,0.6432433128356934
347282.43313307303,5810315.006805061,0.648206353187561
347292.43313307303,5810315.006805061,0.6364220380783081
347302.43313307303,5810315.006805061,0.667931318283081
347312.43313307303,5810315.006805061,0.7277803421020508
347182.43313307303,5810305.006805061,0.6730669736862183
347192.43313307303,5810305.006805061,0.6975544691085815
347202.43313307303,5810305.006805061,0.6975555419921875
347212.43313307303,5810305.006805061,0.674622654914856
347222.43313307303,5810305.006805061,0.6552283763885498
347232.43313307303,5810305.006805061,0.6434347629547119
347242.43313307303,5810305.006805061,0.6559116840362549
347252.43313307303,5810305.006805061,0.6679739952087402
347262.43313307303,5810305.006805061,0.6561719179153442
347272.43313307303,5810305.006805061,0.6600817441940308
347282.43313307303,5810305.006805061,0.6650577783584595
347292.43313307303,5810305.006805061,0.6440180540084839
347302.43313307303,5810305.006805061,0.6935536861419678
347312.43313307303,5810305.006805061,0.7283306121826172
347182.43313307303,5810295.006805061,0.6751812696456909
347192.43313307303,5810295.006805061,0.675182580947876
