x_utm,y_utm,value
347182.43313307303,5810395.006805061,32.960303438318405
347192.43313307303,5810395.006805061,32.956924438190796
347202.43313307303,5810395.006805061,32.954978359657154
347212.43313307303,5810395.006805061,32.954508316900416
347222.43313307303,5810395.006805061,32.95554165688461
347232.43313307303,5810395.006805061,32.95808865851153
347242.43313307303,5810395.006805061,32.96214173664473
347252.43313307303,5810395.006805061,32.96767520988233
347262.43313307303,5810395.006805061,32.97464565494893
347272.43313307303,5810395.006805061,32.982992831831595
347282.43313307303,5810395.006805061,32.99264112668694
347292.43313307303,5810395.006805061,33.00350142821035
347302.43313307303,5810395.006805061,33.01547333073738
347312.43313307303,5810395.006805061,33.02844754558121
347322.43313307303,5810395.006805061,33.042308401169265
347332.43313307303,5810395.006805061,33.05693632119556
347342.43313307303,5810395.006805061,33.07221018601005
347182.43313307303,5810385.006805061,32.93244217399677
347192.43313307303,5810385.006805061,32.92859578005728
347202.43313307303,5810385.006805061,32.92630925157947
347212.43313307303,5810385.006805061,32.92563482351408
347222.43313307303,5810385.006805061,32.92660646974023
347232.43313307303,5810385.006805061,32.929238237625164
347242.43313307303,5810385.006805061,32.93352321419728
347252.43313307303,5810385.006805061,32.939433205085834
347262.43313307303,5810385.006805061,32.94691915812274
347272.43313307303,5810385.006805061,32.95591231014556
347282.43313307303,5810385.006805061,32.966325984625875
347292.43313307303,5810385.006805061,32.978057925370486
347302.43313307303,5810385.006805061,32.99099302227084
347312.43313307303,5810385.006805061,33.005006271228304
347322.43313307303,5810385.006805061,33.01996581186012
347332.43313307303,5810385.006805061,33.035735901204916
347342.43313307303,5810385.006805061,33.052179705811305
347182.43313307303,5810375.006805061,32.903085797996695
347192.43313307303,5810375.006805061,32.898697359173546
347202.43313307303,5810375.006805061,32.89601057898386
347212.43313307303,5810375.006805061,32.89508895125868
347222.43313307303,5810375.006805061,32.89597473182283
347232.43313307303,5810375.006805061,32.89868679029673
347242.43313307303,5810375.006805061,32.90321925845243
347252.43313307303,5810375.006805061,32.90954108834329
347262.43313307303,5810375.006805061,32.91759656520403
347272.43313307303,5810375.006805061,32.927306745662776
347282.43313307303,5810375.006805061,32.938571721031614
347292.43313307303,5810375.006805061,32.95127354753575
347302.43313307303,5810375.006805061,32.965279646982914
347312.43313307303,5810375.006805061,32.98044646562735
347322.43313307303,5810375.006805061,32.99662318512313
347332.43313307303,5810375.006805061,33.013655303635886
347182.43313307303,5810365.006805061,32.8721204223955
347192.43313307303,5810365.006805061,32.86710157599772
347202.43313307303,5810365.006805061,32.863943130471576
347212.43313307303,5810365.006805061,32.862722554425204
347222.43313307303,5810365.006805061,32.86349250765282
347232.43313307303,5810365.006805061,32.86627804719688
347242.43313307303,5810365.006805061,32.87107484657586
347252.43313307303,5810365.006805061,32.87784858823394
347262.43313307303,5810365.006805061,32.88653559350304
347272.43313307303,5810365.006805061,32.89704464896175
347282.43313307303,5810365.006805061,32.909259888335036
347292.43313307303,5810365.006805061,32.923044509080825
347302.43313307303,5810365.006805061,32.93824505243954
347312.43313307303,5810365.006805061,32.9546959589405
347322.43313307303,5810365.006805061,32.97222412610394
347332.43313307303,5810365.006805061,32.99065323459114
347182.43313307303,5810355.006805061,32.839422985172746
347192.43313307303,5810355.006805061,32.833668757766645
347202.43313307303,5810355.006805061,32.829953053178414
347212.43313307303,5810355.006805061,32.82837079143273
347222.43313307303,5810355.006805061,32.828987779798176
347232.43313307303,5810355.006805061,32.831837045512025
347242.43313307303,5810355.006805061,32.836916468866875
347252.43313307303,5810355.006805061,32.84418794620835
347262.43313307303,5810355.006805061,32.85357817599005
347272.43313307303,5810355.006805061,32.864981009448364
347282.43313307303,5810355.006805061,32.878261164792086
347292.43313307303,5810355.006805061,32.89325899201584
347302.43313307303,5810355.006805061,32.90979590934216
347312.43313307303,5810355.006805061,32.92768011677358
347322.43313307303,5810355.006805061,32.9467122224908
347332.43313307303,5810355.006805061,32.96669048199998
347182.43313307303,5810345.006805061,32.80486097864263
347192.43313307303,5810345.006805061,32.79824617293734
347202.43313307303,5810345.006805061,32.7938701998007
347212.43313307303,5810345.006805061,32.7918499186295
347222.43313307303,5810345.006805061,32.79226786388452
347232.43313307303,5810345.006805061,32.79516738238029
347242.43313307303,5810345.006805061,32.800549455525655
347252.43313307303,5810345.006805061,32.80837154094555
347262.43313307303,5810345.006805061,32.81854857052722
347272.43313307303,5810345.006805061,32.83095602016297
347282.43313307303,5810345.006805061,32.845434759063174
347292.43313307303,5810345.006805061,32.86179722844872
347302.43313307303,5810345.006805061,32.87983441311271
347312.43313307303,5810345.006805061,32.899323060276274
347322.43313307303,5810345.006805061,32.92003265803278
347182.43313307303,5810335.006805061,32.76829245106
347192.43313307303,5810335.006805061,32.76066711501824
347202.43313307303,5810335.006805061,32.75550633910927
347212.43313307303,5810335.006805061,32.7529547683209
347222.43313307303,5810335.006805061,32.753116382680155
347232.43313307303,5810335.006805061,32.756047976655566
347242.43313307303,5810335.006805061,32.7617548438383
347252.43313307303,5810335.006805061,32.77018916260589
347262.43313307303,5810335.006805061,32.78125128785241
347272.43313307303,5810335.006805061,32.794793823217084
347282.43313307303,5810335.006805061,32.81062804137725
347292.43313307303,5810335.006805061,32.82853199374692
347302.43313307303,5810335.006805061,32.8482595396228
347312.43313307303,5810335.006805061,32.869549533243195
347322.43313307303,5810335.006805061,32.89213451399339
347182.43313307303,5810325.006805061,32.729566454393414
347192.43313307303,5810325.006805061,32.72075016338194
347202.43313307303,5810325.006805061,32.71465326307356
347212.43313307303,5810325.006805061,32.711455874447225
347222.43313307303,5810325.006805061,32.71128971225119
347232.43313307303,5810325.006805061,32.7142292321006
347242.43313307303,5810325.006805061,32.72028569423219
347252.43313307303,5810325.006805061,32.729404892740675
347262.43313307303,5810325.006805061,32.74146886305695
347272.43313307303,5810325.006805061,32.756301377023405
347282.43313307303,5810325.006805061,32.77367657202631
347292.43313307303,5810325.006805061,32.79332973291734
347302.43313307303,5810325.006805061,32.8149691057656
347312.43313307303,5810325.006805061,32.838287671044284
347182.43313307303,5810315.006805061,32.688524202513335
347192.43313307303,5810315.006805061,32.67829879774116
347202.43313307303,5810315.006805061,32.67108086203846
347212.43313307303,5810315.006805061,32.6670962156561
347222.43313307303,5810315.006805061,32.666512795056136
347232.43313307303,5810315.006805061,32.669428467364746
347242.43313307303,5810315.006805061,32.675862744196635
347252.43313307303,5810315.006805061,32.68575355004267
347262.43313307303,5810315.006805061,32.6989595323712
