X,Y,Y_hat
17/11/2023,10, 
18/11/2023,10, 
19/11/2023,9, 
20/11/2023,10, 
21/11/2023,10, 
22/11/2023,10, 
23/11/2023,10, 
24/11/2023,9, 
25/11/2023,8, 
26/11/2023,10, 
27/11/2023,10, 
28/11/2023,10, 
29/11/2023,10, 
30/11/2023,9, 
01/12/2023,10, 
02/12/2023,9, 
03/12/2023,10, 
04/12/2023,9, 
05/12/2023,8, 
06/12/2023,8, 
07/12/2023,9, 
08/12/2023,10, 
09/12/2023,10, 
10/12/2023,10, 
11/12/2023,8, 
12/12/2023, ,8
13/12/2023, ,8
14/12/2023, ,10
