X,Y,Y_hat
17/11/2023,9, 
18/11/2023,9, 
19/11/2023,10, 
20/11/2023,9, 
21/11/2023,10, 
22/11/2023,9, 
23/11/2023,10, 
24/11/2023,9, 
25/11/2023,8, 
26/11/2023,9, 
27/11/2023,9, 
28/11/2023,8, 
29/11/2023,8, 
30/11/2023,8, 
01/12/2023,9, 
02/12/2023,10, 
03/12/2023,8, 
04/12/2023,10, 
05/12/2023,8, 
06/12/2023,9, 
07/12/2023,10, 
08/12/2023,10, 
09/12/2023,9, 
10/12/2023,9, 
11/12/2023,8, 
12/12/2023, ,8
13/12/2023, ,9
14/12/2023, ,9
